country,origin,regime,method,seed,mase,mae,rmse,n_train_points,seconds
italy,45,-,persistence,-1,5.05255057167986,29246.0,32806.107370427235,45,0.0
italy,45,-,moving_avg_7,-1,5.648870102130564,32697.714285714297,35917.303410893815,45,0.0
italy,45,-,classical_sir,-1,319.9560464454737,1852021.9444796545,2490470.723368166,45,0.0
italy,45,daily,pinn_split,1,3.5004664857917662,20261.972916666666,23009.635762200032,45,0.0
italy,45,daily,pinn_split,2,4.935797655693764,28570.191666666666,33179.09222827507,45,0.0
italy,45,daily,pinn_split,3,2.9428027625958038,17034.0125,19052.321165747104,45,0.0
italy,45,sparse20,pinn_split,1,1.5912862993152408,9210.94375,11703.15403697096,38,0.0
italy,45,sparse20,pinn_split,2,1.520883018307367,8803.423958333333,10990.12552854547,38,0.0
italy,45,sparse20,pinn_split,3,3.214993156659652,18609.549479166668,20991.135788028812,38,0.0
italy,45,sparse30,pinn_split,1,2.1779250003926376,12606.621875,15390.990457082351,31,0.0
italy,45,sparse30,pinn_split,2,1.9182109662933997,11103.302604166667,13796.248394983853,31,0.0
italy,45,sparse30,pinn_split,3,2.2572123048592787,13065.565625,15894.411634432305,31,0.0
italy,45,sparse40,pinn_split,1,2.190164624625686,12677.469270833333,15524.611143375383,27,0.0
italy,45,sparse40,pinn_split,2,2.720535624306341,15747.449479166668,17278.253621950647,27,0.0
italy,45,sparse40,pinn_split,3,2.0816584981755457,12049.396354166667,13336.359361349076,27,0.0
italy,60,-,persistence,-1,4.0666645427465475,25962.0,29678.59151644498,60,0.0
italy,60,-,moving_avg_7,-1,4.8903624848955145,31220.571428571428,34373.20803658761,60,0.0
italy,60,-,classical_sir,-1,110.08254305372641,702778.1496898762,860475.1484554854,60,0.0
italy,60,daily,pinn_split,1,2.649181852418968,16912.646354166667,19246.9087254834,60,0.0
italy,60,daily,pinn_split,2,2.1165435346101633,13512.229166666666,15379.479061507407,60,0.0
italy,60,daily,pinn_split,3,2.1386657901624444,13653.459895833334,15468.730252900512,60,0.0
italy,60,sparse20,pinn_split,1,4.741860521391415,30272.519791666666,32972.09894128242,48,0.0
italy,60,sparse20,pinn_split,2,2.8618878906464325,18270.583333333332,20207.54890697552,48,0.0
italy,60,sparse20,pinn_split,3,3.533266933174393,22556.735416666666,24548.46805223389,48,0.0
italy,60,sparse30,pinn_split,1,3.092289824276584,19741.492708333335,22249.566630726615,44,0.0
italy,60,sparse30,pinn_split,2,2.249383533568115,14360.293229166668,16207.761157939982,44,0.0
italy,60,sparse30,pinn_split,3,2.4296177950434785,15510.927083333334,17479.91282686077,44,0.0
italy,60,sparse40,pinn_split,1,4.289872580556308,27386.9828125,30357.128613680805,37,0.0
italy,60,sparse40,pinn_split,2,3.2991174904489964,21061.9015625,23348.484321645883,37,0.0
italy,60,sparse40,pinn_split,3,3.6693485458558777,23425.494270833333,25847.432644379936,37,0.0
italy,75,-,persistence,-1,1.6408094523828323,10111.2,11913.326789776229,75,0.0
italy,75,-,moving_avg_7,-1,3.838310520650458,23652.91428571428,24797.431092097962,75,0.0
italy,75,-,classical_sir,-1,48.033455220951595,295997.7294894132,338054.1583105111,75,0.0
italy,75,daily,pinn_split,1,0.6463303862823238,3982.8974609375,4829.532509757884,75,0.0
italy,75,daily,pinn_split,2,0.5057062900071709,3116.326171875,4012.7244725458295,75,0.0
italy,75,daily,pinn_split,3,0.5270061492351078,3247.5828125,4142.212100971204,75,0.0
italy,75,weekly,pinn_split,1,1.6812784263581149,10360.582942708334,11020.572455430001,11,0.0
italy,75,weekly,pinn_split,2,1.8012648167473297,11099.977994791667,11734.260445850678,11,0.0
italy,75,weekly,pinn_split,3,1.5022192524081968,9257.162239583333,9973.164756240278,11,0.0
italy,75,sparse20,pinn_split,1,0.5429401945791266,3345.7735677083333,4236.1744230518725,59,0.0
italy,75,sparse20,pinn_split,2,0.5056444009879857,3115.944791666667,4003.427556746774,59,0.0
italy,75,sparse20,pinn_split,3,0.5224190086646111,3219.315364583333,4109.638516746889,59,0.0
italy,75,sparse30,pinn_split,1,0.5111491429364797,3149.866796875,4019.08801294214,54,0.0
italy,75,sparse30,pinn_split,2,0.5423110670264708,3341.8966796875,4200.386458199951,54,0.0
italy,75,sparse30,pinn_split,3,0.5241973195857967,3230.273893229167,4110.837305202701,54,0.0
italy,75,sparse40,pinn_split,1,0.6257017450564166,3855.7770833333334,4922.5030367013305,46,0.0
italy,75,sparse40,pinn_split,2,0.5442460127374207,3353.8204427083333,4227.452357194086,46,0.0
italy,75,sparse40,pinn_split,3,1.0478807426759968,6457.380989583334,7287.817150092688,46,0.0
